# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.8.5
#@/tick	258
#@/user_id	c10b546d-9061-4101-80d7-81e8dd66747f
shi hua 	實話	c=0 d=0.0315058 t=258
shi yong 	使用	c=2 d=1.47202 t=258
shu le 	輸了	c=1 d=0.677057 t=258
shu ru fa 	輸入法	c=2 d=1.53656 t=258
shuo ju 	說句	c=0 d=0.0315058 t=258
shuo ju shi hua 	說句實話	c=1 d=0.316637 t=258
si ye cao 	四葉草	c=1 d=0.548812 t=258
si yuan 	思源	c=1 d=0.927743 t=258
suan le 	算了	c=1 d=0.524663 t=258
suo you 	所有	c=1 d=0.369723 t=258
tai kuai 	太快	c=1 d=0.380983 t=258
ti gong 	提供	c=2 d=0.907701 t=258
ti huan 	替換	c=1 d=0.786628 t=258
tian jia 	添加	c=1 d=0.615697 t=258
tong guo 	通過	c=1 d=0.715338 t=258
tu xing hua 	圖形化	c=1 d=0.647265 t=258
tuo 	拖	c=0 d=0.0557106 t=258
tuo wen jian 	拖文件	c=1 d=0.559898 t=258
wan 	完	c=1 d=0.895834 t=258
wang zhuang 	忘裝	c=1 d=0.66365 t=258
wei zhi 	位置	c=1 d=0.798516 t=258
wen 	問	c=0 d=0.0600496 t=258
wen 	文	c=1 d=0.946485 t=258
wen jian 	文件	c=1 d=0.834508 t=258
wo 	我	c=3 d=2.23363 t=258
wo bu zhi dao 	我不知道	c=1 d=0.909373 t=258
wo gan jue 	我感覺	c=1 d=0.640824 t=258
wo gu ji 	我估計	c=1 d=0.701173 t=258
wo ji ben shang 	我基本上	c=1 d=0.367879 t=258
wo jue ce 	我決策	c=1 d=0.852144 t=258
wo jue de 	我覺得	c=1 d=0.865022 t=258
wo men 	我們	c=1 d=0.310367 t=258
wo xian zai 	我現在	c=1 d=0.527292 t=258
wo zhi jie 	我直接	c=1 d=0.585669 t=258
wu 	鶩	c=1 d=0.941765 t=258
xi 	吸	c=2 d=0.865606 t=258
xi xue 	吸血	c=1 d=0.427415 t=258
xia 	霞	c=1 d=0.937067 t=258
xia mian 	下面	c=1 d=0.878095 t=258
xian zai 	現在	c=4 d=2.22077 t=258
xie de 	寫得	c=1 d=0.726149 t=258
xuan 	選	c=1 d=0.609571 t=258
xuan ze xing 	選擇性	c=1 d=0.680451 t=258
xue 	血	c=1 d=0.442639 t=258
yao 	要	c=1 d=0.71177 t=258
yao shi 	要是	c=1 d=0.900325 t=258
yao xiang 	要像	c=1 d=0.822835 t=258
ye 	也	c=1 d=0.424071 t=258
ye gen bu shang 	也跟不上	c=1 d=0.394554 t=258
ye hao 	也好	c=1 d=0.449329 t=258
ye xing 	也行	c=1 d=0.308819 t=258
yi 	一	c=1 d=0.733447 t=258
yi ba 	一把	c=0 d=0.0603506 t=258
yi bian 	一變	c=1 d=0.802519 t=258
yi dian 	一點	c=1 d=0.421052 t=258
yi shou 	一手	c=1 d=0.32628 t=258
yi wang 	遺忘	c=1 d=0.683861 t=258
yi yang 	一樣	c=3 d=1.43761 t=258
ying gai shi 	應該是	c=1 d=0.818731 t=258
yong 	用	c=4 d=2.36075 t=258
yong bu liao 	用不了	c=2 d=1.48759 t=258
you 	有	c=1 d=0.494109 t=258
you dian 	有點	c=1 d=0.657047 t=258
yu zhuang 	預裝	c=1 d=0.472367 t=258
yuan lai 	原來	c=1 d=0.537944 t=258
yuan ni 	願你	c=2 d=0.560262 t=258
yun xing 	運行	c=1 d=0.891366 t=258
zen me 	怎麼	c=4 d=2.48073 t=258
zhao 	找	c=1 d=0.56836 t=258
zhe 	這	c=0 d=0.0458406 t=258
zhe ge 	這個	c=2 d=1.56571 t=258
zhe shu ru fa 	這輸入法	c=1 d=0.460704 t=258
zhe teng 	折騰	c=1 d=0.514274 t=258
zhe yang 	這樣	c=1 d=0.70822 t=258
zhen 	真	c=2 d=0.972168 t=258
zhen de 	真的	c=3 d=1.23511 t=258
zhi jie 	直接	c=2 d=1.04067 t=258
zhong duan 	終端	c=1 d=0.484325 t=258
zhong wen 	中文	c=2 d=1.19977 t=258
zi yuan 	資源	c=1 d=0.843665 t=258
